scenario_id,carbon_price,price_impact,volume_impact,price_shock_pct,volume_shock_pct,combined_market_shock,combined_market_shock_pct
CP_75_P_0.0_V_-0.1,75,0.0,-0.1,0.0,-10.0,0.09999999999999998,9.999999999999998
CP_75_P_0.0_V_-0.15,75,0.0,-0.15,0.0,-15.0,0.15000000000000002,15.000000000000002
CP_75_P_-0.05_V_0.0,75,-0.05,0.0,-5.0,0.0,0.050000000000000044,5.000000000000004
CP_75_P_-0.05_V_-0.05,75,-0.05,-0.05,-5.0,-5.0,0.09750000000000003,9.750000000000004
CP_75_P_-0.05_V_-0.1,75,-0.05,-0.1,-5.0,-10.0,0.14500000000000002,14.500000000000002
CP_75_P_-0.05_V_-0.15,75,-0.05,-0.15,-5.0,-15.0,0.1925,19.25
CP_75_P_-0.1_V_0.0,75,-0.1,0.0,-10.0,0.0,0.09999999999999998,9.999999999999998
CP_75_P_-0.1_V_-0.05,75,-0.1,-0.05,-10.0,-5.0,0.14500000000000002,14.500000000000002
CP_75_P_-0.1_V_-0.1,75,-0.1,-0.1,-10.0,-10.0,0.18999999999999995,18.999999999999993
CP_75_P_-0.1_V_-0.15,75,-0.1,-0.15,-10.0,-15.0,0.235,23.5
CP_75_P_-0.15_V_0.0,75,-0.15,0.0,-15.0,0.0,0.15000000000000002,15.000000000000002
CP_75_P_-0.15_V_-0.05,75,-0.15,-0.05,-15.0,-5.0,0.1925,19.25
CP_75_P_-0.15_V_-0.1,75,-0.15,-0.1,-15.0,-10.0,0.235,23.5
CP_75_P_-0.15_V_-0.15,75,-0.15,-0.15,-15.0,-15.0,0.2775000000000001,27.750000000000007
CP_75_P_-0.2_V_0.0,75,-0.2,0.0,-20.0,0.0,0.19999999999999996,19.999999999999996
CP_75_P_-0.2_V_-0.05,75,-0.2,-0.05,-20.0,-5.0,0.24,24.0
CP_75_P_-0.2_V_-0.1,75,-0.2,-0.1,-20.0,-10.0,0.2799999999999999,27.999999999999993
CP_75_P_-0.2_V_-0.15,75,-0.2,-0.15,-20.0,-15.0,0.31999999999999995,31.999999999999996
CP_75_P_-0.25_V_0.0,75,-0.25,0.0,-25.0,0.0,0.25,25.0
CP_75_P_-0.25_V_-0.05,75,-0.25,-0.05,-25.0,-5.0,0.2875000000000001,28.750000000000007
CP_75_P_-0.25_V_-0.1,75,-0.25,-0.1,-25.0,-10.0,0.32499999999999996,32.49999999999999
CP_75_P_-0.25_V_-0.15,75,-0.25,-0.15,-25.0,-15.0,0.36250000000000004,36.25000000000001
CP_100_P_0.0_V_0.0,100,0.0,0.0,0.0,0.0,0.0,0.0
CP_100_P_0.0_V_-0.05,100,0.0,-0.05,0.0,-5.0,0.050000000000000044,5.000000000000004
CP_100_P_0.0_V_-0.1,100,0.0,-0.1,0.0,-10.0,0.09999999999999998,9.999999999999998
CP_100_P_0.0_V_-0.15,100,0.0,-0.15,0.0,-15.0,0.15000000000000002,15.000000000000002
CP_100_P_-0.05_V_0.0,100,-0.05,0.0,-5.0,0.0,0.050000000000000044,5.000000000000004
CP_100_P_-0.05_V_-0.05,100,-0.05,-0.05,-5.0,-5.0,0.09750000000000003,9.750000000000004
CP_100_P_-0.05_V_-0.1,100,-0.05,-0.1,-5.0,-10.0,0.14500000000000002,14.500000000000002
CP_100_P_-0.05_V_-0.15,100,-0.05,-0.15,-5.0,-15.0,0.1925,19.25
CP_100_P_-0.1_V_0.0,100,-0.1,0.0,-10.0,0.0,0.09999999999999998,9.999999999999998
CP_100_P_-0.1_V_-0.05,100,-0.1,-0.05,-10.0,-5.0,0.14500000000000002,14.500000000000002
CP_100_P_-0.1_V_-0.1,100,-0.1,-0.1,-10.0,-10.0,0.18999999999999995,18.999999999999993
CP_100_P_-0.1_V_-0.15,100,-0.1,-0.15,-10.0,-15.0,0.235,23.5
CP_100_P_-0.15_V_0.0,100,-0.15,0.0,-15.0,0.0,0.15000000000000002,15.000000000000002
CP_100_P_-0.15_V_-0.05,100,-0.15,-0.05,-15.0,-5.0,0.1925,19.25
CP_100_P_-0.15_V_-0.1,100,-0.15,-0.1,-15.0,-10.0,0.235,23.5
CP_100_P_-0.15_V_-0.15,100,-0.15,-0.15,-15.0,-15.0,0.2775000000000001,27.750000000000007
CP_100_P_-0.2_V_0.0,100,-0.2,0.0,-20.0,0.0,0.19999999999999996,19.999999999999996
CP_100_P_-0.2_V_-0.05,100,-0.2,-0.05,-20.0,-5.0,0.24,24.0
CP_100_P_-0.2_V_-0.1,100,-0.2,-0.1,-20.0,-10.0,0.2799999999999999,27.999999999999993
CP_100_P_-0.2_V_-0.15,100,-0.2,-0.15,-20.0,-15.0,0.31999999999999995,31.999999999999996
CP_100_P_-0.25_V_0.0,100,-0.25,0.0,-25.0,0.0,0.25,25.0
CP_100_P_-0.25_V_-0.05,100,-0.25,-0.05,-25.0,-5.0,0.2875000000000001,28.750000000000007
CP_100_P_-0.25_V_-0.1,100,-0.25,-0.1,-25.0,-10.0,0.32499999999999996,32.49999999999999
CP_100_P_-0.25_V_-0.15,100,-0.25,-0.15,-25.0,-15.0,0.36250000000000004,36.25000000000001
CP_150_P_0.0_V_0.0,150,0.0,0.0,0.0,0.0,0.0,0.0
CP_150_P_0.0_V_-0.05,150,0.0,-0.05,0.0,-5.0,0.050000000000000044,5.000000000000004
CP_150_P_0.0_V_-0.1,150,0.0,-0.1,0.0,-10.0,0.09999999999999998,9.999999999999998
CP_150_P_0.0_V_-0.15,150,0.0,-0.15,0.0,-15.0,0.15000000000000002,15.000000000000002
CP_150_P_-0.05_V_0.0,150,-0.05,0.0,-5.0,0.0,0.050000000000000044,5.000000000000004
CP_150_P_-0.05_V_-0.05,150,-0.05,-0.05,-5.0,-5.0,0.09750000000000003,9.750000000000004
CP_150_P_-0.05_V_-0.1,150,-0.05,-0.1,-5.0,-10.0,0.14500000000000002,14.500000000000002
CP_150_P_-0.05_V_-0.15,150,-0.05,-0.15,-5.0,-15.0,0.1925,19.25
CP_150_P_-0.1_V_0.0,150,-0.1,0.0,-10.0,0.0,0.09999999999999998,9.999999999999998
CP_150_P_-0.1_V_-0.05,150,-0.1,-0.05,-10.0,-5.0,0.14500000000000002,14.500000000000002
CP_150_P_-0.1_V_-0.1,150,-0.1,-0.1,-10.0,-10.0,0.18999999999999995,18.999999999999993
CP_150_P_-0.1_V_-0.15,150,-0.1,-0.15,-10.0,-15.0,0.235,23.5
CP_150_P_-0.15_V_0.0,150,-0.15,0.0,-15.0,0.0,0.15000000000000002,15.000000000000002
CP_150_P_-0.15_V_-0.05,150,-0.15,-0.05,-15.0,-5.0,0.1925,19.25
CP_150_P_-0.15_V_-0.1,150,-0.15,-0.1,-15.0,-10.0,0.235,23.5
CP_150_P_-0.15_V_-0.15,150,-0.15,-0.15,-15.0,-15.0,0.2775000000000001,27.750000000000007
CP_150_P_-0.2_V_0.0,150,-0.2,0.0,-20.0,0.0,0.19999999999999996,19.999999999999996
CP_150_P_-0.2_V_-0.05,150,-0.2,-0.05,-20.0,-5.0,0.24,24.0
CP_150_P_-0.2_V_-0.1,150,-0.2,-0.1,-20.0,-10.0,0.2799999999999999,27.999999999999993
CP_150_P_-0.2_V_-0.15,150,-0.2,-0.15,-20.0,-15.0,0.31999999999999995,31.999999999999996
CP_150_P_-0.25_V_0.0,150,-0.25,0.0,-25.0,0.0,0.25,25.0
CP_150_P_-0.25_V_-0.05,150,-0.25,-0.05,-25.0,-5.0,0.2875000000000001,28.750000000000007
CP_150_P_-0.25_V_-0.1,150,-0.25,-0.1,-25.0,-10.0,0.32499999999999996,32.49999999999999
CP_150_P_-0.25_V_-0.15,150,-0.25,-0.15,-25.0,-15.0,0.36250000000000004,36.25000000000001
CP_200_P_0.0_V_0.0,200,0.0,0.0,0.0,0.0,0.0,0.0
CP_200_P_0.0_V_-0.05,200,0.0,-0.05,0.0,-5.0,0.050000000000000044,5.000000000000004
CP_200_P_0.0_V_-0.1,200,0.0,-0.1,0.0,-10.0,0.09999999999999998,9.999999999999998
CP_200_P_0.0_V_-0.15,200,0.0,-0.15,0.0,-15.0,0.15000000000000002,15.000000000000002
CP_200_P_-0.05_V_0.0,200,-0.05,0.0,-5.0,0.0,0.050000000000000044,5.000000000000004
CP_200_P_-0.05_V_-0.05,200,-0.05,-0.05,-5.0,-5.0,0.09750000000000003,9.750000000000004
CP_200_P_-0.05_V_-0.1,200,-0.05,-0.1,-5.0,-10.0,0.14500000000000002,14.500000000000002
CP_200_P_-0.05_V_-0.15,200,-0.05,-0.15,-5.0,-15.0,0.1925,19.25
CP_200_P_-0.1_V_0.0,200,-0.1,0.0,-10.0,0.0,0.09999999999999998,9.999999999999998
CP_200_P_-0.1_V_-0.05,200,-0.1,-0.05,-10.0,-5.0,0.14500000000000002,14.500000000000002
CP_200_P_-0.1_V_-0.1,200,-0.1,-0.1,-10.0,-10.0,0.18999999999999995,18.999999999999993
CP_200_P_-0.1_V_-0.15,200,-0.1,-0.15,-10.0,-15.0,0.235,23.5
CP_200_P_-0.15_V_0.0,200,-0.15,0.0,-15.0,0.0,0.15000000000000002,15.000000000000002
CP_200_P_-0.15_V_-0.05,200,-0.15,-0.05,-15.0,-5.0,0.1925,19.25
CP_200_P_-0.15_V_-0.1,200,-0.15,-0.1,-15.0,-10.0,0.235,23.5
CP_200_P_-0.15_V_-0.15,200,-0.15,-0.15,-15.0,-15.0,0.2775000000000001,27.750000000000007
CP_200_P_-0.2_V_0.0,200,-0.2,0.0,-20.0,0.0,0.19999999999999996,19.999999999999996
CP_200_P_-0.2_V_-0.05,200,-0.2,-0.05,-20.0,-5.0,0.24,24.0
CP_200_P_-0.2_V_-0.1,200,-0.2,-0.1,-20.0,-10.0,0.2799999999999999,27.999999999999993
CP_200_P_-0.2_V_-0.15,200,-0.2,-0.15,-20.0,-15.0,0.31999999999999995,31.999999999999996
CP_200_P_-0.25_V_0.0,200,-0.25,0.0,-25.0,0.0,0.25,25.0
CP_200_P_-0.25_V_-0.05,200,-0.25,-0.05,-25.0,-5.0,0.2875000000000001,28.750000000000007
CP_200_P_-0.25_V_-0.1,200,-0.25,-0.1,-25.0,-10.0,0.32499999999999996,32.49999999999999
CP_200_P_-0.25_V_-0.15,200,-0.25,-0.15,-25.0,-15.0,0.36250000000000004,36.25000000000001
